Case Number,Link to H-2A,Hit or No Hit,Market,Farm,Narratives,"Facebook. Google Reviews, Website, LinkedIn, Google Maps, Instagram, etc.???",Certainty,year,Recruiter,Hits - By name or by logo,Person
H-300-21280-631097,https://seasonaljobs.dol.gov/api/job-order/H-300-21280-631097,No Hit,,,,,,2022,D Mendoza - 1,,
H-300-21202-474481,https://seasonaljobs.dol.gov/api/job-order/H-300-21202-474481,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21195-461870,https://seasonaljobs.dol.gov/api/job-order/H-300-21195-461870,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21183-441615,https://seasonaljobs.dol.gov/api/job-order/H-300-21183-441615,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20255-817429,https://seasonaljobs.dol.gov/api/job-order/H-300-20255-817429,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20364-982053,https://seasonaljobs.dol.gov/api/job-order/H-300-20364-982053,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20365-983786,https://seasonaljobs.dol.gov/api/job-order/H-300-20365-983786,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20365-985162,https://seasonaljobs.dol.gov/api/job-order/H-300-20365-985162,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21005-994798,https://seasonaljobs.dol.gov/api/job-order/H-300-21005-994798,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20346-952877,https://seasonaljobs.dol.gov/api/job-order/H-300-20346-952877,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20365-983767,https://seasonaljobs.dol.gov/api/job-order/H-300-20365-983767,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21015-015836,https://seasonaljobs.dol.gov/api/job-order/H-300-21015-015836,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21022-028269,https://seasonaljobs.dol.gov/api/job-order/H-300-21022-028269,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21029-042637,https://seasonaljobs.dol.gov/api/job-order/H-300-21029-042637,Hit,"Kroger, Walmart, Instacart ",Haigler Farms,"I googled the worksite address on the work order (Haigler Farms Partneship: 175 Harvest Drive, Cameron, SC, 29030), which led me the McCall Farms (who partners with Haigler Farms to produce the crops listed). McCall Farms listed which brands use their crops (Peanut Patch, Bruce's Yams, Glory Foods, etc), and from there you can find at least one of those brands at any major retailer in the United States. ",Website,3,2021,D Mendoza - 1,Both,Ben
H-300-21018-018784,https://seasonaljobs.dol.gov/api/job-order/H-300-21018-018784,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21028-040407,https://seasonaljobs.dol.gov/api/job-order/H-300-21028-040407,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21050-089713,https://seasonaljobs.dol.gov/api/job-order/H-300-21050-089713,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21041-067929,https://seasonaljobs.dol.gov/api/job-order/H-300-21041-067929,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21067-128061,https://seasonaljobs.dol.gov/api/job-order/H-300-21067-128061,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21035-055122,https://seasonaljobs.dol.gov/api/job-order/H-300-21035-055122,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21055-098768,https://seasonaljobs.dol.gov/api/job-order/H-300-21055-098768,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21061-111851,https://seasonaljobs.dol.gov/api/job-order/H-300-21061-111851,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21070-140807,https://seasonaljobs.dol.gov/api/job-order/H-300-21070-140807,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21105-226433,https://seasonaljobs.dol.gov/api/job-order/H-300-21105-226433,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21134-315007,https://seasonaljobs.dol.gov/api/job-order/H-300-21134-315007,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-21183-441506,https://seasonaljobs.dol.gov/api/job-order/H-300-21183-441506,No Hit,,,,,,2021,D Mendoza - 1,,
H-300-20171-667198,https://seasonaljobs.dol.gov/api/job-order/H-300-20171-667198,No Hit,,,,,,2020,D Mendoza - 1,,
H-300-20169-659915,https://seasonaljobs.dol.gov/api/job-order/H-300-20169-659915,No Hit,,,,,,2020,D Mendoza - 1,,
H-300-20129-553735,https://seasonaljobs.dol.gov/api/job-order/H-300-20129-553735,No Hit,,,,,,2020,D Mendoza - 1,,
H-300-20087-442303,https://seasonaljobs.dol.gov/api/job-order/H-300-20087-442303,No Hit,,,,,,2020,D Mendoza - 1,,
H-300-20071-398650,https://seasonaljobs.dol.gov/api/job-order/H-300-20071-398650,No Hit,,,,,,2020,D Mendoza - 1,,
H-300-20070-393556,https://seasonaljobs.dol.gov/api/job-order/H-300-20070-393556,No Hit,,,,,,2020,D Mendoza - 1,,
H-300-20066-384428,https://seasonaljobs.dol.gov/api/job-order/H-300-20066-384428,No Hit,,,,,,2020,D Mendoza - 1,,
