case_number,link_to_h2a,farm,market,best_address,latitude,longitude,location,year,recruiter,person,hit_or_no_hit,certainty,online_presence,has_facebook,retailer_count
H-300-20013-248635,https://seasonaljobs.dol.gov/api/job-order/H-300-20013-248635,Down South Berries LLC,"Naturipe Farms, 99 Cents Only Stores, Ahold, Aldi, AWG, Bashas, Big Y, Charlie's Produce, Costco, Delhaize, Dollar General, Food Lion, Giant Eagle, Harris Teeter, H.E.B., H-Mart, Jewel, K-VA-T Food Stores, King Soopers, Kroger, Loblaw, Market Basket, Meijer, Publix, Raley's, Roundy's, Safeway, Sam's Club, Save Mart, Sendik's Food Markets, Shaw's, Sobeys, SpartanNash, Sprouts Farmers Market, Super, Target, Supervalu, Trader Joe's, Walmart, Wegmans, Whole Foods, and WinCo","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2020.0,D Mendoza - 1,Ben,Hit,1.0,"website, but also relied on info gained over a telephone call",False,42
H-300-20002-228933,https://seasonaljobs.dol.gov/api/job-order/H-300-20002-228933,L&S Farm,"Store Locator – sealtheseasons, Peoples-Food Ann Arbor, Plum Market, Zerbo's.","213 PINECONE ROAD, Alma, GA 31510",31.4990436,-82.50046909999999,"213 Pinecone Rd, Alma, GA 31510, USA",2020.0,D Mendoza - 1,Ben,Hit,1.0,"Websites, including SoS",False,4
H-300-22014-831909,https://seasonaljobs.dol.gov/api/job-order/H-300-22014-831909,Burnham Berry Farms,"99 cents, kroger, costco, whole foods, trader joe's, walmart, publix, meijer, etc.","211 Dorothy Burnham Road Nicholls, Georgia 31554",31.49078489999999,-82.6319343,"211 Dorothy Burnam Rd, Nicholls, GA 31554, USA",2022.0,JS Mendoza,Ben,Hit,3.0,Website,False,9
H-300-20357-975271,https://seasonaljobs.dol.gov/api/job-order/H-300-20357-975271,Smith Family Farms,Dillons,"931 SA HARDEN RD, Lyons, GA 30436",32.135268,-82.313271,"931 SA Harden Rd, Lyons, GA 30436, USA",2021.0,JS Mendoza,Ben,Hit,2.0,Facebook,True,1
H-300-21006-998351,https://seasonaljobs.dol.gov/api/job-order/H-300-21006-998351,"MP Aquino Harvesting, LLC","Naturipe, Alpine Fresh","183 MARIGOLD LANE, Alma, GA 31510",31.4855312,-82.444244,"183 Marigold Ln, Alma, GA 31510, USA",2021.0,JS Mendoza,Ben,Hit,1.0,"Google maps, website",False,2
H-300-20009-241352,https://seasonaljobs.dol.gov/api/job-order/H-300-20009-241352,(None found),"Naturipe, Alpine Fresh","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2020.0,JS Mendoza,Ben,Hit,1.0,"Google maps, website",False,2
H-300-23086-881434,https://seasonaljobs.dol.gov/api/job-order/H-300-23086-881434,G&R Farms,"King Soopers (from website pictures); G&R Farms is a direct to consumer retailer - customer reviews on google; Potential (from facebook followers): Schnucks; Growing retailers (participating retailers: Wegmens, Costco, Target, etc)","102 Joe Dasher Rd Glennville, Georgia 30427",31.9296525,-81.9041501,"Dasher Rd, Glennville, GA 30427, USA",2023.0,M Saavedra - 3,Isaura,Hit,2.0,Both,False,4
H-300-21253-577257,https://seasonaljobs.dol.gov/api/job-order/H-300-21253-577257,"Pro-Health, LLC","Walmart, Meijer, HEB","36635 A Street, Wray, CO 80758",40.1026297,-102.228759,"36635 A St, Wray, CO 80758, USA",2022.0,B Bussey - 5,Karma,Hit,0.0,Unknown,False,3
H-300-20260-827359,https://seasonaljobs.dol.gov/api/job-order/H-300-20260-827359,"Red Sky Ag, LLC","Costco, Weis Markets","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2021.0,B Bussey - 5,Karma,Hit,0.0,"Google review, Facebook and Instagram",True,2
H-300-20363-980683,https://seasonaljobs.dol.gov/api/job-order/H-300-20363-980683,Farmers John Berries,Publix,"1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2021.0,B Bussey - 5,Karma,Hit,0.0,Website,False,1
H-300-21007-999949,https://seasonaljobs.dol.gov/api/job-order/H-300-21007-999949,Berry Brothers,Whole Foods,"1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2021.0,B Bussey - 5,Karma,Hit,0.0,Facebook,True,1
H-300-21026-033893,https://seasonaljobs.dol.gov/api/job-order/H-300-21026-033893,CT Strickland Farms,"Walmart, Whole Foods","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2021.0,B Bussey - 5,Karma,Hit,0.0,Facebook,True,2
H-300-21124-285763,https://seasonaljobs.dol.gov/api/job-order/H-300-21124-285763,T&M Farms & Sons,Kroger,"1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2021.0,B Bussey - 5,Karma,Hit,0.0,Google Reviews,False,1
H-300-21166-398136,https://seasonaljobs.dol.gov/api/job-order/H-300-21166-398136,Lusk Onion,HEB Walmart,"301 Liberal Street Dalhart, Texas 79022",36.0662772,-102.5198136,"301 Liberal St, Dalhart, TX 79022, USA",2021.0,B Bussey - 5,Karma,Hit,0.0,Facebook,True,1
H-300-20208-735658,https://seasonaljobs.dol.gov/api/job-order/H-300-20208-735658,"J&T Harvesting, LLC","Mountain King: Aldi's (Florida), Walmart, Costco, Safeway, Sam's Club; Alpine Potato","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2020.0,B Bussey - 5,Karma,Hit,0.0,Website,False,5
H-300-20150-611826,https://seasonaljobs.dol.gov/api/job-order/H-300-20150-611826,"Alex Olivares Harvesting, LLC","Lusk Onion Co., Lusk Onions sells pumpkins to Brookshire's Food & Pharmacy, H-E-B, and Trader Joe's in the Texas area.","1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2020.0,B Bussey - 5,Karma,Hit,0.0,Facebook,True,4
H-300-20051-337029,https://seasonaljobs.dol.gov/api/job-order/H-300-20051-337029,"J&T Harvesting, LLC",BJ's and Kroger,"1104 Maynard Ave., Nicholls, GA 31554",31.5174219,-82.63486019999999,"Nicholls, GA 31554, USA",2020.0,B Bussey - 5,Karma,Hit,0.0,Website,False,1
