original_address,cleaned_address,latitude,longitude
1002 Smith Ave Douglas Georgia 31533,1002 Smith Ave Douglas Georgia 31533,31.518453285714283,-82.8419796122449
1002 Smith Ave. Douglas Georgia 31533,1002 Smith Ave. Douglas Georgia 31533,31.518453285714283,-82.8419796122449
1104 Maynard Ave. Dalhart Texas 79022,1104 Maynard Ave. Dalhart Texas 79022,36.05524095,-102.50050308290405
"123 Liberal Street Dalhart, Texas 79022","123 Liberal Street Dalhart, Texas 79022",36.06523145,-102.5214354998993
1250 Interocean Drive Holyoke Colorado 80734,1250 Interocean Drive Holyoke Colorado 80734,40.57461906122449,-102.302653
20 Glennville Georgia 30427,20 Glennville Georgia 30427,31.9365917,-81.9284501
201 4th Avenue NW Ruskin Florida 33570,201 4th Avenue NW Ruskin Florida 33570,27.7217968,-82.43680286169365
250 Mills Lane Uvalde Texas 78801,250 Mills Lane Uvalde Texas 78801,29.191495972238855,-99.74943968931794
"301 Liberal Street Dalhart, Texas 79022","301 Liberal Street Dalhart, Texas 79022",36.0662078,-102.52002129460315
"36635 A Street Wray, Colorado 80758","36635 A Street Wray, Colorado 80758",40.10105084049862,-102.22782855424461
709 S. Main St. Collins Georgia 30436,709 S. Main St. Collins Georgia 30436,32.1743839,-82.1124266
R Farms 102  Dasher Rd Glennville Georgia 30427,102  Dasher Rd Glennville Georgia 30427,31.926086869239928,-81.89157677324175
