filename,line
H-300-20150-611826.pdf,H-2A Case Number: ___ _______________   Case Status: __________________     Determination Date : ___________ __     Validity Period : ___________ __ to ___________ __ IMPORTANT :  Employers and authorized preparers must read the general  instructions care fully before completing the Form s ETA-9142 A and ETA -790/790A.  A
H-300-20150-611826.pdf,"copy of the instructions can be found at http://w ww.foreignlaborcert.doleta.gov/ .  If you are not submitting th ese forms  electronically, please complete ALL required"
H-300-20150-611826.pdf,fields/items containing an a sterisk ( * ) and any fields/items where a response is conditional as indicated by the section ( § ) symbol.
H-300-20150-611826.pdf,4. Is a statement of temporary need attached to this application?  * YesNo
H-300-20150-611826.pdf,5. Is this application being filed with a request to waive the regulatory time period due to an
H-300-20150-611826.pdf,6.Is a statement justifying the employer’s emergency situation attached to this application ? *YesNoN/A
H-300-20150-611826.pdf,3. Address 1 *
H-300-20150-611826.pdf,4. Address 2  (apartment/suite/floor and number)  §
H-300-20150-611826.pdf,5. City * 6. State * 7. Postal C ode *
H-300-20150-611826.pdf,The information contained in this Section must be that of an employee of the employer who is authorized to act on behalf of t he employer in labor cert ification matters.
H-300-20150-611826.pdf,"The information in this Section must  be different  from the agent or attorney information listed in Section D, unless the attorney is an employee of the employer."
H-300-20150-611826.pdf,1. Contact’s Last (family) N ame * 2. First (given) N ame * 3. Middl e Name(s) §
H-300-20150-611826.pdf,5. Address 1 *
H-300-20150-611826.pdf,6. Address 2  (apartment/suite/floor and number)  §
H-300-20150-611826.pdf,7. City * 8. State * 9. Postal C ode *
H-300-20150-611826.pdf,12. Telephone N umber * 13. Extension  §14.Business E mail Address  *
H-300-20150-611826.pdf,"Alex Olivarez Harvesting, LLC"
H-300-20150-611826.pdf,1104 Maynard Ave.
H-300-20150-611826.pdf,United States Of America
H-300-20150-611826.pdf,1104 Maynard Ave.
H-300-20150-611826.pdf,United States Of America
H-300-20150-611826.pdf,a.o.harvester@gmail.com
H-300-20150-611826.pdf,H-2A Case Number: __________________         Case Status: __________________          Determination Date : ___________ __     Validity Period : ___________ __ to ___________ __ D.Attorney or Agent Information (If applicable)
H-300-20150-611826.pdf,2. Attorney or Agent’s Last (family) N ame § 3. First (given) N ame § 4. Middle Name(s)  §
H-300-20150-611826.pdf,5. Address 1 §
H-300-20150-611826.pdf,6. Address 2 (apartment/suite/floor and number)  §
H-300-20150-611826.pdf,7. City § 8. State § 9. Postal C ode §
H-300-20150-611826.pdf,12. Telephone N umber § 13. Extension  §14.Law Firm/ Business E mail Address  §
H-300-20150-611826.pdf,"If “Attorney” is marked in question D.1, complete questions 17 to 19 below."
H-300-20150-611826.pdf,17. State Bar N umber (s) § 18. State of highest court where attorney is in good standing §
H-300-20150-611826.pdf,19. Name of the highest state court where attorney is in good standing  §
H-300-20150-611826.pdf,"If “Agent” is marked in question D.1, complete questions 20 and 21 below."
H-300-20150-611826.pdf,20.Is a copy of the current agreeme nt or other documentation demonstrating the agent’s authority
H-300-20150-611826.pdf,(MSPA)  Certif icate of Registration identifying the farm labor  contracting activities the agent  is
H-300-20150-611826.pdf,3.Is a copy of the completed job order ( Form ETA -790/790A) satisfying the requirements at
H-300-20150-611826.pdf,"4. If “Joint Employer” or “Association – Joint E mployer” is marked in question A.1, does the"
H-300-20150-611826.pdf,"Form ETA -790A identify  the name, address, total number of  workers needed, and  crops and"
H-300-20150-611826.pdf,"If “Yes” is marked in question A.2, complete questions E.5 through E.9 below"
H-300-20150-611826.pdf,7.Is a copy of the employer’s  current MSPA  Certificate of Registration identifying the farm labor
H-300-20150-611826.pdf,1002 Smith Ave.
H-300-20150-611826.pdf,United States Of America
H-300-20150-611826.pdf,H-2A Case Number: __________________         Case Status: __________________          Determination Date : ___________ __     Validity Period : ___________ __ to ___________ __ F. Declaration of Employer and Attorney/Agent
H-300-20150-611826.pdf,"In accordance with Federal regulations, the employer (s) must attest t o abide by certain terms, assurances , and obligations as a condition for receiving a temporary"
H-300-20150-611826.pdf,"1. Please confirm that you have read and agree to all the applicable terms, assurances , and"
H-300-20150-611826.pdf,obligations conta ined in Appendix A  and have attached a signed and dated copy of Appendix A
H-300-20150-611826.pdf,filing as a joint employer  on the job order (Form ETA -790/790A) has read and agree to all the
H-300-20150-611826.pdf,1. Last  (family) N ame § 2. First (given) N ame § 3. Middle I nitial §
H-300-20150-611826.pdf,6.Business E mail Address  §
H-300-20150-611826.pdf,Public Burden Statement  (1205 -0466 )
H-300-20150-611826.pdf,Persons are not required to respond to this collection of information unless it displays a curren tly valid OMB control number.  Public reporting burden for this collection
H-300-20150-611826.pdf,"of information is estimated to average 3.66 hours per response for all H -2A information collection requirements, including the time for reviewing instructions,"
H-300-20150-611826.pdf,"searching existing da ta sources, gathering and maintaining the data needed, and completing, reviewing, and submitting the collection of informatio n.  The obligation"
H-300-20150-611826.pdf,"to respond to this data collection is required to obtain/retain benefits (Immigration and Nationality Act, 8 U.S .C. 1101, et seq.).  Send comments regarding this burden"
H-300-20150-611826.pdf,"estimate or any other aspect of this collection of information, including suggestions for reducing this burden, to the U.S. D epartment of Labor, Employment and"
H-300-20150-611826.pdf,"Training Administration, Office of Fore ign Labor Certification, 200 Constitution Ave., NW, Suite PPII 12 -200, Washington, DC, 20210. (Paperwork R eduction Project"
H-300-20150-611826.pdf,OMB 1205 -0531).  DO NOT send the completed application to this address.
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ A.Job Offer Information
H-300-22014-831909.pdf,"If “Yes” , proceed to question 8.  If “No”, complete questions 6 and 7 below.Yes     No"
H-300-22014-831909.pdf,b. Sunday d. Tuesday f. Thursday h. Saturday b. ____ : _____  AM
H-300-22014-831909.pdf,"11. Sta te all deduction(s) from pay and, if known, the amount(s). *"
H-300-22014-831909.pdf,"Harvest, count prune, load, unload, and all farm labor related to Blueberries. All jobs will be done under extreme"
H-300-22014-831909.pdf,"weather conditions, repetitive movements like bending, stooping, and heavy lifting. Workers will also be pulling"
H-300-22014-831909.pdf,"Federal taxes, State taxes, Social Security"
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ B. Minimum Job Qualifications/Requirements
