Case Number,Link to H-2A,Hit or No Hit,Market,Farm,Narratives,"Facebook. Google Reviews, Website, LinkedIn, Google Maps, Instagram, etc.???",Certainty,year,Recruiter,Hits - By name or by logo,Person
H-300-21029-042637,https://seasonaljobs.dol.gov/api/job-order/H-300-21029-042637,Hit,"Kroger, Walmart, Instacart ",Haigler Farms,"I googled the worksite address on the work order (Haigler Farms Partneship: 175 Harvest Drive, Cameron, SC, 29030), which led me the McCall Farms (who partners with Haigler Farms to produce the crops listed). McCall Farms listed which brands use their crops (Peanut Patch, Bruce's Yams, Glory Foods, etc), and from there you can find at least one of those brands at any major retailer in the United States. ",Website,3.0,2021.0,D Mendoza - 1,Both,Ben
H-300-20013-248635,https://seasonaljobs.dol.gov/api/job-order/H-300-20013-248635,Hit,"Naturipe Farms, 99 Cents Only Stores, Ahold, Aldi, AWG, Bashas, Big Y, Charlie's Produce, Costco, Delhaize, Dollar General, Food Lion, Giant Eagle, Harris Teeter, H.E.B., H-Mart, Jewel, K-VA-T Food Stores, King Soopers, Kroger, Loblaw, Market Basket, Meijer, Publix, Raley's, Roundy's, Safeway, Sam's Club, Save Mart, Sendik's Food Markets, Shaw's, Sobeys, SpartanNash, Sprouts Farmers Market, Super, Target, Supervalu, Trader Joe's, Walmart, Wegmans, Whole Foods, and WinCo",Down South Berries LLC,"H2A list > work order lists Down South Berries, LLC > based on a call, they are affiliated with Michigan Blueberry Growers > googled them and they sell to Naturipe brand > sold at those locations","website, but also relied on info gained over a telephone call",1.0,2020.0,D Mendoza - 1,Both,Ben
H-300-20002-228933,https://seasonaljobs.dol.gov/api/job-order/H-300-20002-228933,Hit,"Store Locator – sealtheseasons, Peoples-Food Ann Arbor, Plum Market, Zerbo's.",L&S Farm,"Googled: L&S Farm at 213 Pine Cone Road, Alma, GA 31510 (worksite address on job order).
Found L&S Farm’s profile on Dun & Bradstreet and the GA Secretary of State Website:: https://www.dnb.com/business-directory/company-profiles.l__s_mullis_farms_inc.76c350e2d555fefe5ae6af912c0686eb.html. Both indicate Steve Mullis as the owner of the company. 
Googled Steve Mullis, and his information was available on Seal the Seasons page. The name, city, and produce all match: https://sealtheseasons.com/pages/farmer-john? srsltid=AfmBOopBeXiIhR_huhpkgSieyIMsJoIhrz16sEAGQj10H2RO-UzsKEdw. 
Steve and Christopehr (Steve’s son) operate blueberry farms, freeze their own blueberries and also freeze a variety of other locally grown fruits, including Seal the Seasons Florida Strawberries from TG Farms and Blackberries from Purdue Blackberry Farms. Googled: Farmer John (https://www.farmerjohnberries.com/)
Contact Info: 190 Industrial Drive, Alma, GA 31510; (912) 632-1016
Googled: Seal the Seasons Strawberries from TG Farms (unclear if TG Farms also uses migrant laborers through the H2A Visa program). 

I located the job order on the DOL website. Googled: Steve Mullis Alma, GA
Result appeared on the Certified Organic Website: https://ccof.org/directory-member/mullis-farms/ 
Article with quotes Steve Mullis from 2017, saying that losses to Georgia’s blueberry crop from the mid-March freeze will result in a loss of $300M to $400M: https://www.jacksonville.com/story/news/2017/04/12/georgia-blueberry-harvest-begins-freeze-losses-estimated-400-million/15750509007/. 
Article about D.L. Lee & Sons with quotes from Steve Mullis about the need for labors: ","Websites, including SoS",1.0,2020.0,D Mendoza - 1,Both,Ben
H-300-19044-646927,https://seasonaljobs.dol.gov/jobs/H-300-19044-646927,Hit,https://wishfarms.com/,"Major League Blueberries, LLC","H2A list > Job order on DOL site, listed business name  ""Major League Blueberries"" > googled ""Major league blueberries"" > clicked first item Wish Farms site about Major League Blueberries > clicked on Wish Farms site ""Where to Buy""",Website,3.0,2019.0,D Mendoza - 1,Logo,Ben
H-300-19114-230380,https://seasonaljobs.dol.gov/jobs/H-300-19114-230380,Hit,Harris Teeter,"Sleepy Creek Farms, Inc.",H2A > job order work site address > googled and it lists Sleep Creek Farm > their google reviews reference Harris Teeter,Google reviews,2.0,2019.0,D Mendoza - 1,Name,Ben
H-300-19068-891355,https://seasonaljobs.dol.gov/jobs/H-300-19068-891355,Hit,"Kroger, Walmart, Harris Teeter, Food Lion, and Giant Eagle","Lewis Nursery and Farms, Inc.",H2A List > job order work site address > googled it and it showed Lewis Farms > Lewis farms owns American Blueberries > facebook comments and google reviews on both Lewis Farms and American blueberries revealed their buyers,"Website, Facebook, Google reviews",2.0,2019.0,D Mendoza - 1,Name,Ben
H-300-22014-831909,https://seasonaljobs.dol.gov/api/job-order/H-300-22014-831909,Hit,"99 cents, kroger, costco, whole foods, trader joe's, walmart, publix, meijer, etc.",Burnham Berry Farms,Work order and google,Website,3.0,2022.0,JS Mendoza,Both,Ben
H-300-20357-975271,https://seasonaljobs.dol.gov/api/job-order/H-300-20357-975271,Hit,Dillons,Smith Family Farms,"1. Worksite address corresponds to Smith Farms in Cobbtown, GA. 

2. Smith Farms is an official grower for the Vidalia Onion Committee. Another work order corresponds to a different farm, which is also a grower for the same organization. As such, it seems likely that more farms are associated with H2A labor. 

3. On Vidalia Onion Committee's Facebook page, a commenter stated they bought vidalia onions at Dillons in Kansas. Though it's difficult to say which farm exactly this was sourced from, it's one of their 30 growers, which includes Smith Farms. ",Facebook,2.0,2021.0,JS Mendoza,Name,Ben
H-300-21006-998351,https://seasonaljobs.dol.gov/api/job-order/H-300-21006-998351,Hit,"Naturipe, Alpine Fresh","MP Aquino Harvesting, LLC","Found nothing useful when I looked up the first address from the work order (for place of employment information) (350 Leopard Road Alma, GA)
Then I google map searched the housing address (199 Tobacco Lane Alma, GA 31510)
Then i used the google maps “live view” feature and zoomed in on the building in the address which said “Naturipe” and “Alpine Fresh”
Google Maps also labels this “housing” address as “The Blueberry Warehouse, INC”
Naturipe
Googled “Naturipe alma ga” and found this website
Then clicked the link from the above website that said “naturipe farms” which led me to this website
Confirmed that these are grown, inter alia, in Alma, Georgia
Then clicked on “find places to buy naturipe berries”
Which led me to this webpage
Unsure if this is important, but there is a “for retailers” tab
Alpine Fresh
Googled “alpine fresh” and “alpine fresh blueberries” (because google auto-suggested “blueberries”)
Clicked on “our farms” and saw that blueberries and blackberries are grown in GA
Clicked on “where to buy” at the bottom of the page
Led me to this page 
Another address listed on the work order under “additional place of employment information”
Kevin Eason Farms (373 Mesquite Road, Alma, Georgia, 31510)
Googled “Kevin Eason Farms” and found this linkedin where he was/is the owner of “Blueberry Warehouse” and “Advantage South Insurance, Kevin Eason Farms, and Blueberry Warehouse Inc.”","Google maps, website",1.0,2021.0,JS Mendoza,Both,Ben
H-300-20009-241352,https://seasonaljobs.dol.gov/api/job-order/H-300-20009-241352,Hit,"Naturipe, Alpine Fresh",(None found),"Found nothing useful when I looked up the first address from the work order (for place of employment information) (350 Leopard Road Alma, GA)
Then I google map searched the housing address (199 Tobacco Lane Alma, GA 31510)
Then i used the google maps “live view” feature and zoomed in on the building in the address which said “Naturipe” and “Alpine Fresh”
Google Maps also labels this “housing” address as “The Blueberry Warehouse, INC”
Naturipe
Googled “Naturipe alma ga” and found this website
Then clicked the link from the above website that said “naturipe farms” which led me to this website
Confirmed that these are grown, inter alia, in Alma, Georgia
Then clicked on “find places to buy naturipe berries”
Which led me to this webpage
Unsure if this is important, but there is a “for retailers” tab
Alpine Fresh
Googled “alpine fresh” and “alpine fresh blueberries” (because google auto-suggested “blueberries”)
Clicked on “our farms” and saw that blueberries and blackberries are grown in GA
Clicked on “where to buy” at the bottom of the page
Led me to this page 
Another address listed on the work order under “additional place of employment information”
Kevin Eason Farms (373 Mesquite Road, Alma, Georgia, 31510)
Googled “Kevin Eason Farms” and found this linkedin where he was/is the owner of “Blueberry Warehouse” and “Advantage South Insurance, Kevin Eason Farms, and Blueberry Warehouse Inc.”","Google maps, website",1.0,2020.0,JS Mendoza,Both,Ben
